destination,month,duration_days,group_size,pace,total_budget_inr
Goa,1,8,1,Moderate,53568.53731340164
Uttarakhand,5,10,7,Luxury,640439.3896077529
Himachal Pradesh,10,3,6,Budget,23191.885784911425
Agra,10,10,5,Budget,65841.89794938893
Goa,2,8,5,Luxury,470332.9521193602
Karnataka,12,11,1,Moderate,52402.640356373384
Maharashtra,10,12,6,Budget,109770.60872551335
Himachal Pradesh,2,12,4,Luxury,476728.0910271965
Karnataka,7,14,1,Luxury,137870.26380902724
Uttarakhand,11,4,8,Moderate,62956.15212970563
Uttarakhand,3,3,8,Moderate,48954.451756768445
Uttarakhand,8,11,4,Budget,51645.61648624635
Goa,9,9,7,Budget,87424.79453878594
Goa,8,8,3,Budget,53407.38318857452
Agra,6,10,8,Moderate,178052.3429480398
Agra,5,13,7,Luxury,542684.088331765
Maharashtra,3,13,5,Budget,96316.82348628932
Himachal Pradesh,3,2,5,Budget,17185.389088095064
Kerala,7,13,9,Budget,157850.80235943425
Kerala,5,13,6,Luxury,734571.097394559
Karnataka,12,13,6,Budget,123581.33120552418
Uttarakhand,6,14,2,Budget,52658.615921087
Himachal Pradesh,6,8,5,Moderate,192685.80361355076
Tamil Nadu,9,11,4,Moderate,138985.0097785598
Goa,1,11,3,Moderate,215101.78396558072
Delhi,8,3,9,Luxury,192241.2178833599
Rajasthan,10,10,7,Moderate,152965.67424622193
Maharashtra,5,12,4,Budget,75636.15830216208
Uttarakhand,6,14,9,Budget,153698.6665643301
Uttarakhand,6,6,9,Luxury,398288.8310802264
Uttarakhand,1,5,7,Luxury,258285.0532794096
Goa,3,8,5,Budget,81109.47413171772
Goa,12,9,9,Luxury,900179.4716922088
Rajasthan,6,11,7,Budget,93269.35458875734
Tamil Nadu,11,7,9,Moderate,147644.07880426233
Himachal Pradesh,11,6,3,Budget,27805.45147722307
Uttarakhand,9,6,9,Luxury,344011.53750853846
Kerala,6,1,1,Moderate,4026.9913988654694
Agra,12,5,5,Budget,36715.37785867398
Kerala,6,14,2,Luxury,296067.0620195026
Karnataka,1,8,1,Luxury,108451.17997874724
Kerala,9,6,3,Moderate,70486.9755545847
Karnataka,4,12,7,Budget,102414.13512581028
Delhi,2,1,3,Budget,4176.845903815268
Agra,1,5,9,Luxury,298951.834095033
Kerala,3,13,3,Moderate,146121.1843974153
Delhi,3,11,6,Budget,78882.38949150893
Maharashtra,5,12,2,Moderate,88529.29606472154
Himachal Pradesh,1,5,8,Luxury,265550.8840124657
Delhi,7,12,5,Budget,94618.81331730139
Himachal Pradesh,1,3,2,Luxury,59385.45600577583
Kerala,4,8,7,Budget,66890.20841636907
Tamil Nadu,6,9,3,Luxury,265119.1689215657
Delhi,1,6,5,Budget,54984.79929811736
Agra,7,6,9,Moderate,95932.5598026676
Kerala,10,2,1,Budget,4356.594823544986
Uttarakhand,7,10,2,Budget,29940.504328878993
Goa,3,2,5,Luxury,99074.26917996652
Delhi,4,6,4,Budget,34908.04430695988
Agra,6,12,1,Budget,17929.12119030515
Maharashtra,11,8,7,Budget,84233.21796236343
Uttarakhand,7,2,9,Luxury,91653.00117687581
Maharashtra,4,9,1,Budget,21024.918110316048
Kerala,10,13,8,Moderate,261673.55060617163
Goa,11,12,9,Moderate,415285.12231169344
Delhi,9,14,2,Luxury,311840.39450154186
Delhi,9,9,1,Budget,14117.841673215735
Tamil Nadu,9,14,6,Luxury,570745.495159234
Tamil Nadu,12,4,7,Budget,42626.13119313773
Kerala,10,4,2,Luxury,85171.35200747555
Kerala,6,4,5,Budget,33279.02970242444
Goa,2,11,5,Budget,106115.27824411851
Tamil Nadu,2,5,7,Luxury,222373.74238941734
Agra,11,8,1,Luxury,80008.33067506028
Agra,4,2,8,Luxury,94057.56629964207
Goa,9,11,5,Budget,107678.74703915467
Agra,3,5,3,Luxury,123482.0611962068
Karnataka,6,14,9,Budget,121706.30079458692
Himachal Pradesh,2,2,3,Moderate,19601.75367659445
Goa,1,11,7,Moderate,345339.54722283507
Goa,12,11,7,Budget,198699.48954131955
Rajasthan,5,8,8,Budget,68206.2540728843
Uttarakhand,8,1,8,Luxury,55928.63257394771
Uttarakhand,10,7,4,Budget,36194.859566447034
Karnataka,10,3,1,Budget,5040.69014707677
Tamil Nadu,2,4,4,Moderate,45417.75093659862
Kerala,10,14,6,Luxury,730232.6365214012
Kerala,9,8,6,Luxury,451127.7073834126
Maharashtra,12,3,6,Budget,38262.766317788366
Karnataka,8,12,7,Luxury,738985.5861696998
Goa,3,13,1,Moderate,53715.248681615754
Karnataka,1,13,1,Moderate,51871.88950150014
Karnataka,4,7,7,Moderate,143660.48548916666
Karnataka,8,12,4,Budget,82554.61527327514
Uttarakhand,3,1,6,Budget,6685.220144297543
Karnataka,10,9,6,Moderate,163559.2243144138
Himachal Pradesh,12,13,9,Moderate,400471.56562119053
Kerala,2,6,2,Luxury,126686.18442949357
Maharashtra,7,3,4,Luxury,144165.4216448585
Himachal Pradesh,4,7,4,Luxury,256815.6108722207
Maharashtra,6,13,7,Luxury,797847.399828607
Rajasthan,5,5,1,Moderate,18073.62305035872
Maharashtra,2,8,5,Luxury,365855.203220682
Kerala,10,8,4,Moderate,112432.44063621822
Kerala,2,12,2,Moderate,96843.60123623534
Karnataka,9,9,5,Budget,58638.91078507659
Delhi,11,6,9,Luxury,393463.5518181409
Rajasthan,10,4,8,Moderate,75247.3816328203
Goa,2,13,9,Budget,178146.2872932749
Agra,8,2,7,Budget,16424.237129843612
Maharashtra,8,3,7,Moderate,55621.57801345438
Delhi,1,5,2,Moderate,41222.779506415754
Karnataka,1,8,3,Luxury,253015.4719907375
Uttarakhand,4,12,8,Luxury,561997.5633464811
Goa,2,10,2,Moderate,87994.98222348069
Tamil Nadu,12,2,7,Moderate,33934.080982847576
Delhi,1,5,6,Budget,52762.11970704281
Uttarakhand,9,14,4,Budget,83676.73268741994
Rajasthan,3,9,4,Budget,53122.50990822969
Karnataka,1,2,3,Budget,11958.345002774971
Goa,2,8,6,Budget,90267.11795424872
Goa,8,3,3,Luxury,94602.09732664561
Goa,5,8,9,Budget,86815.5676181004
Rajasthan,11,4,4,Moderate,67287.45415346896
Maharashtra,7,4,4,Luxury,164388.26658226596
Tamil Nadu,6,12,2,Budget,43121.32433193775
Rajasthan,1,7,2,Budget,31220.10392003571
Agra,6,5,7,Budget,34579.220284719064
Tamil Nadu,11,4,5,Moderate,69593.6722382157
Kerala,7,7,3,Budget,41024.58209381318
Karnataka,4,12,6,Moderate,209079.71361104018
Rajasthan,8,3,6,Moderate,44819.72095623865
Uttarakhand,8,9,1,Budget,12748.796287515712
Tamil Nadu,7,14,3,Budget,71417.63939970087
Agra,11,13,5,Luxury,519720.3220063401
Kerala,2,5,7,Luxury,324396.9381709317
Maharashtra,6,12,4,Luxury,574999.7473958249
Uttarakhand,6,3,8,Moderate,68648.87874549064
Tamil Nadu,12,2,3,Budget,11817.324399738809
Karnataka,12,7,6,Luxury,391766.5020748678
Uttarakhand,7,12,6,Moderate,193012.9928415848
Kerala,6,7,9,Luxury,472102.29626518185
Uttarakhand,2,12,4,Luxury,355767.51114569383
Himachal Pradesh,8,13,7,Budget,131434.23745872895
Delhi,4,5,1,Budget,9835.94236992501
Maharashtra,9,4,1,Moderate,17154.966042593078
Kerala,8,13,2,Budget,53258.72696601488
Uttarakhand,3,11,4,Luxury,390793.2166732821
Delhi,3,2,6,Moderate,34215.97142516079
Delhi,8,2,4,Moderate,23474.56889960501
Uttarakhand,2,7,6,Moderate,108055.86463630432
Karnataka,9,10,2,Moderate,71323.50913549738
Himachal Pradesh,4,7,9,Budget,69981.2576090734
Rajasthan,6,4,3,Luxury,102030.94538390686
Himachal Pradesh,3,14,7,Budget,146334.20944706557
Uttarakhand,3,4,1,Budget,6236.629778075807
Maharashtra,3,4,8,Moderate,80534.53285081428
Rajasthan,11,11,4,Budget,90584.96575426821
Kerala,10,2,5,Budget,14762.023661757086
Himachal Pradesh,12,13,7,Luxury,864908.6198952355
Uttarakhand,12,13,3,Moderate,154333.52544549629
Himachal Pradesh,2,9,9,Budget,103162.82753718576
Rajasthan,8,1,9,Moderate,16207.580192173318
Agra,9,8,8,Luxury,425685.02860886167
Tamil Nadu,8,6,1,Budget,8946.9953867986
Himachal Pradesh,10,13,2,Luxury,300069.18934505456
Kerala,3,10,2,Luxury,247516.4619119874
Kerala,7,7,3,Moderate,80932.41935952188
Goa,11,12,2,Moderate,146474.7377385968
Himachal Pradesh,10,5,1,Moderate,20161.73020390852
Tamil Nadu,2,6,5,Budget,39278.93373661948
Karnataka,4,6,6,Moderate,89476.34836263949
Delhi,12,13,7,Budget,121768.01278036
Tamil Nadu,6,9,7,Luxury,374510.7687455666
Delhi,11,10,2,Moderate,75777.37060388796
Delhi,5,13,7,Luxury,714597.2321416845
Agra,9,4,2,Moderate,26008.2902671477
Goa,10,12,2,Luxury,273962.76376981044
Tamil Nadu,4,11,6,Budget,78080.01453968685
Tamil Nadu,5,12,6,Luxury,483518.7327549719
Agra,4,13,8,Budget,109336.18775600333
Himachal Pradesh,8,5,5,Moderate,85566.51057694615
Himachal Pradesh,8,4,5,Moderate,53759.3855145244
Himachal Pradesh,3,1,1,Moderate,4260.08866194835
Maharashtra,1,10,4,Budget,79806.45466579586
Delhi,6,6,1,Moderate,19255.299804895163
Maharashtra,2,5,5,Budget,36413.59341430996
Goa,2,4,8,Budget,40909.77462224915
Agra,3,6,1,Luxury,47021.44115389051
Tamil Nadu,8,12,3,Moderate,105201.11802702013
Delhi,3,5,1,Luxury,54998.641239301396
Maharashtra,7,3,6,Budget,25665.998390498164
Maharashtra,10,2,1,Luxury,23065.349720817117
Uttarakhand,10,13,3,Moderate,101297.93256306951
Maharashtra,9,6,5,Budget,55035.1624909749
Karnataka,8,4,5,Luxury,158268.9445742864
Tamil Nadu,1,11,2,Moderate,72171.99026954143
Karnataka,7,13,3,Moderate,111820.02164529044
Tamil Nadu,7,10,9,Luxury,460849.31326918624
Agra,8,3,1,Budget,4563.008309284059
Tamil Nadu,10,14,1,Moderate,40572.63533099126
Karnataka,5,8,2,Budget,25778.390847632018
Tamil Nadu,10,12,8,Moderate,226471.4458208393
Agra,9,9,6,Budget,69281.26633214095
Agra,9,7,4,Budget,39564.78822919381
Goa,8,2,7,Moderate,50180.54245589864
Tamil Nadu,6,8,6,Luxury,374624.6582140159
Uttarakhand,6,11,9,Luxury,915024.7226439635
Himachal Pradesh,1,13,6,Luxury,666168.5096214005
Kerala,6,13,2,Budget,53767.280239882806
Agra,4,11,3,Luxury,305122.6388104735
Rajasthan,4,5,9,Luxury,301300.21875671216
Himachal Pradesh,2,11,7,Moderate,232883.61617438006
Delhi,11,10,6,Budget,87515.82432989488
Tamil Nadu,4,7,5,Luxury,260590.90906939955
Karnataka,5,5,3,Moderate,48410.14339396375
Kerala,12,2,4,Budget,20183.27095327498
Rajasthan,5,12,1,Moderate,47007.29942877481
Himachal Pradesh,5,12,5,Luxury,855220.100846916
Tamil Nadu,4,12,7,Budget,101617.58851274438
Goa,1,4,2,Budget,23590.062205697413
Delhi,10,13,8,Luxury,654515.9383957258
Kerala,8,11,6,Moderate,205825.55008576647
Uttarakhand,3,5,3,Budget,21621.954108596135
Goa,2,6,2,Budget,23791.90996767351
Rajasthan,9,5,8,Budget,40971.43803663603
Kerala,7,10,4,Luxury,435249.35578182485
Goa,9,11,7,Moderate,265342.3050046586
Delhi,2,1,7,Luxury,47765.74086452296
Uttarakhand,9,1,9,Budget,8445.399170602568
Goa,10,3,8,Moderate,74696.18727213237
Maharashtra,9,9,8,Moderate,194745.0669008021
Uttarakhand,11,11,7,Luxury,589041.8575302013
Rajasthan,9,2,5,Luxury,74665.90012099958
Delhi,10,10,9,Budget,104545.7582708267
Tamil Nadu,10,5,7,Luxury,228438.93278590505
Karnataka,4,9,3,Luxury,284865.6478881551
Karnataka,10,7,6,Luxury,323813.8403162977
Karnataka,3,11,3,Luxury,375804.31337614165
Kerala,6,8,6,Luxury,373697.40065511566
Rajasthan,3,2,8,Budget,18274.09955402133
Delhi,11,5,9,Moderate,127365.6616743246
Uttarakhand,9,9,2,Luxury,162674.70284576528
Kerala,3,1,6,Moderate,19837.869796986393
Rajasthan,2,1,3,Moderate,10725.264185113725
Tamil Nadu,8,10,7,Luxury,422207.04627350887
Maharashtra,6,8,4,Luxury,341569.2123446016
Delhi,8,2,5,Moderate,29565.949426841198
Karnataka,7,9,6,Budget,82391.51953346738
Goa,3,10,8,Moderate,210353.52637169303
Delhi,8,9,2,Budget,30524.562943909492
Agra,10,4,4,Moderate,36674.1625948375
Rajasthan,1,2,4,Luxury,115305.89927988098
Himachal Pradesh,1,3,6,Budget,23992.782386170096
Tamil Nadu,10,10,4,Moderate,104418.41460136723
Maharashtra,8,1,5,Budget,9079.900617946338
Tamil Nadu,9,3,5,Luxury,130989.1479340918
Delhi,10,5,8,Budget,43361.540852080056
Himachal Pradesh,6,3,4,Luxury,162845.8438409546
Agra,5,3,6,Luxury,128551.63714061995
Uttarakhand,2,10,7,Budget,84166.40228422215
Goa,11,6,8,Luxury,682998.1670335695
Himachal Pradesh,9,3,9,Luxury,178607.04320302344
Rajasthan,6,3,8,Luxury,165585.83905857228
Karnataka,8,9,4,Budget,49978.9386652073
Agra,9,2,4,Luxury,69435.40849540179
Goa,9,1,5,Moderate,19087.645770670435
Maharashtra,8,10,3,Luxury,327498.8988901239
Karnataka,12,8,2,Moderate,65253.047479652385
Delhi,10,13,2,Budget,37914.60232901518
Himachal Pradesh,8,14,9,Moderate,283567.4662307188
Goa,3,3,8,Luxury,221531.65296771657
Kerala,3,7,6,Luxury,429319.68488652795
Uttarakhand,2,2,9,Luxury,108270.52690447179
Uttarakhand,1,11,5,Luxury,441498.15734839306
Agra,4,11,1,Luxury,107506.4932722183
Maharashtra,2,12,8,Luxury,788552.7381009274
Agra,2,8,3,Budget,27852.389953336835
Kerala,11,9,9,Luxury,977114.1956973138
Rajasthan,11,8,1,Moderate,40771.13925550299
Maharashtra,5,8,3,Moderate,103910.63577150072
Tamil Nadu,4,8,1,Moderate,25658.51273147187
Rajasthan,1,14,1,Budget,38605.88786568493
Maharashtra,9,7,6,Moderate,130707.38009917973
Maharashtra,4,2,4,Moderate,26267.36999039242
Kerala,5,8,4,Moderate,122860.38234635515
Delhi,7,5,5,Budget,36335.49794328468
Kerala,2,6,3,Moderate,63838.14196399513
Maharashtra,8,4,2,Moderate,28512.547798888583
Goa,11,1,8,Budget,20177.798732298303
Rajasthan,2,13,7,Luxury,748137.9414953396
Kerala,11,5,4,Moderate,99637.22344320304
Delhi,10,3,2,Luxury,53951.01598226074
Himachal Pradesh,5,9,9,Moderate,222071.85932106138
Agra,12,4,8,Budget,33529.41252550904
Maharashtra,2,10,4,Luxury,432824.83317982004
Tamil Nadu,2,2,5,Budget,14450.537689127028
Himachal Pradesh,4,4,6,Luxury,196798.39619554533
Uttarakhand,4,3,4,Budget,15996.772272367583
Karnataka,8,3,2,Luxury,62762.67446442065
Delhi,6,5,5,Luxury,179607.31370280852
Tamil Nadu,10,1,1,Luxury,8940.811744426575
Karnataka,8,5,7,Moderate,90674.71453587507
Delhi,7,8,9,Luxury,423579.8591091011
Goa,10,10,3,Luxury,367050.36410213076
Agra,4,12,6,Moderate,142953.6641229591
Himachal Pradesh,2,9,9,Moderate,201457.1779655232
Rajasthan,9,12,4,Budget,77477.80606684161
Delhi,2,1,6,Budget,8276.29199180947
Rajasthan,1,14,3,Moderate,200321.77209383564
Agra,8,2,9,Moderate,31329.66864504415
Maharashtra,10,2,7,Moderate,43415.4036677456
Uttarakhand,9,6,7,Moderate,102034.06192174762
Himachal Pradesh,1,1,4,Moderate,14116.104190477832
Agra,7,11,6,Budget,70854.86077858893
Agra,2,1,8,Moderate,14167.680329720948
Goa,6,2,6,Moderate,38578.24616713123
Karnataka,11,12,6,Budget,102175.82819444302
Uttarakhand,5,13,4,Luxury,580366.0050044267
Himachal Pradesh,1,4,8,Budget,36834.40356749581
Maharashtra,2,2,8,Budget,23740.341587786595
Maharashtra,2,4,9,Moderate,95477.69264255404
Kerala,10,3,6,Luxury,138962.84853375252
Agra,10,3,2,Budget,7637.595868630938
Delhi,6,9,4,Luxury,325366.82317134045
Goa,11,8,4,Budget,95052.39928892715
Uttarakhand,12,12,8,Moderate,302101.74341664434
Maharashtra,1,12,5,Budget,137953.1522443309
Himachal Pradesh,11,10,4,Budget,68513.2042305573
Kerala,4,9,8,Budget,94860.70304067829
Himachal Pradesh,12,1,3,Luxury,41985.724538227216
Goa,10,12,2,Luxury,329794.7383146771
Delhi,11,5,4,Moderate,80712.37491884452
Kerala,5,12,1,Luxury,140669.6792727932
Kerala,2,12,1,Luxury,147656.1353061207
Karnataka,2,4,5,Luxury,161990.79305672675
Uttarakhand,7,11,1,Moderate,38974.85050610486
Kerala,7,14,4,Moderate,202596.6470726863
Karnataka,6,9,8,Moderate,165612.33168285576
Karnataka,1,14,8,Moderate,359503.25464231655
Goa,12,3,2,Budget,21954.875884206165
Rajasthan,12,5,3,Moderate,66378.40669588235
Himachal Pradesh,3,8,3,Moderate,74363.56508682144
Delhi,9,10,1,Budget,19242.433890318167
Tamil Nadu,10,5,3,Budget,22825.840867390005
Himachal Pradesh,1,9,8,Luxury,595040.446228287
Kerala,2,2,6,Luxury,103059.57969725084
Delhi,8,6,5,Moderate,86047.60328281691
Maharashtra,7,5,9,Luxury,348080.24940856255
Rajasthan,9,9,7,Budget,69956.78762405425
Maharashtra,10,7,6,Luxury,455474.30711453245
Maharashtra,12,8,5,Luxury,507653.5345102476
Uttarakhand,12,7,5,Moderate,131617.11794218788
Himachal Pradesh,4,13,9,Budget,125251.94175901059
Tamil Nadu,4,10,6,Budget,77599.76460960794
Goa,7,10,4,Luxury,504850.80306445825
Tamil Nadu,1,5,4,Luxury,220954.49014722556
Maharashtra,10,11,4,Luxury,530577.366417432
Kerala,12,13,6,Moderate,314005.80549957533
Rajasthan,9,14,1,Luxury,133012.68970150102
Agra,2,5,9,Luxury,258321.29945390378
Tamil Nadu,1,13,2,Moderate,106842.15988219963
Maharashtra,7,11,2,Budget,46185.140665899395
Rajasthan,6,4,5,Moderate,50000.01731223133
Delhi,12,2,4,Luxury,88120.55354052497
Himachal Pradesh,3,14,3,Luxury,463029.75938282185
Karnataka,1,9,5,Budget,71216.24513162793
Uttarakhand,12,10,7,Moderate,190269.01903173685
Rajasthan,5,10,2,Luxury,184824.6610913076
Kerala,10,12,6,Budget,94740.35858097742
Kerala,4,10,4,Luxury,364981.2199975474
Rajasthan,5,10,2,Budget,30291.155523989026
Kerala,1,3,1,Luxury,54497.20730071695
Himachal Pradesh,1,11,8,Luxury,584757.6790973693
Kerala,5,11,5,Budget,90763.60930524646
Tamil Nadu,6,3,2,Budget,8814.348028248516
Karnataka,5,3,8,Luxury,163318.70848024954
Kerala,2,8,3,Budget,49257.48504452226
Karnataka,9,6,7,Luxury,356215.04503766185
Maharashtra,5,1,2,Luxury,23395.190982468954
Goa,11,12,7,Moderate,390643.3872619957
Himachal Pradesh,11,13,4,Luxury,445650.5158027991
Goa,5,14,1,Luxury,208535.50836401756
Maharashtra,10,3,5,Budget,21450.156840038213
Himachal Pradesh,9,4,4,Moderate,46168.02735280934
Rajasthan,3,13,8,Budget,119508.93929587069
Rajasthan,5,2,1,Budget,3172.849747830161
Karnataka,12,6,2,Luxury,157896.71947479428
Maharashtra,5,10,5,Luxury,428950.43614425237
Karnataka,2,12,2,Luxury,222589.83899576668
Uttarakhand,11,1,1,Budget,1727.0480698165675
Kerala,4,1,6,Budget,9206.608003927067
Agra,11,8,4,Luxury,251410.80855592532
Uttarakhand,11,4,5,Budget,23340.65310866965
Kerala,2,1,3,Moderate,9954.24120054113
Himachal Pradesh,5,7,6,Moderate,185128.67119358305
Karnataka,10,9,4,Moderate,116023.46895194642
Himachal Pradesh,12,10,6,Budget,121187.56302605201
Himachal Pradesh,2,7,5,Moderate,93207.46523349785
Kerala,10,1,2,Luxury,23873.501952831295
Maharashtra,9,1,4,Luxury,38417.48609495136
Kerala,10,12,2,Luxury,275384.53068580694
Delhi,6,1,5,Moderate,14389.068735253913
Rajasthan,8,8,3,Moderate,83353.75054881869
Rajasthan,9,7,6,Budget,60192.86831444701
Uttarakhand,8,14,5,Luxury,487620.23320981825
Rajasthan,5,3,2,Budget,11220.45378288564
Kerala,5,3,8,Moderate,53091.56485665909
Tamil Nadu,6,12,6,Budget,84559.25785088603
Karnataka,1,3,9,Luxury,187712.64649032787
Kerala,11,2,3,Budget,17273.889606211247
Kerala,8,14,4,Budget,95206.42348342192
Agra,2,14,8,Moderate,197102.27170322317
Karnataka,6,4,7,Moderate,63494.10618152346
Delhi,9,7,8,Moderate,116930.93883976628
Rajasthan,3,9,9,Moderate,191570.94634022372
Karnataka,2,3,8,Luxury,182388.80835644001
Rajasthan,10,10,8,Luxury,503779.0238198363
Uttarakhand,5,7,6,Budget,78894.78608458447
Karnataka,11,12,2,Luxury,270577.4657735416
Rajasthan,9,4,7,Budget,36239.06746601264
Delhi,6,1,4,Moderate,11631.69828145204
Goa,8,5,3,Budget,28263.780850942967
Himachal Pradesh,8,8,4,Budget,47994.81446368929
Himachal Pradesh,7,3,4,Luxury,116308.02393285754
Delhi,5,10,3,Budget,53366.41879005195
Agra,2,4,9,Luxury,208532.34845804496
Goa,10,3,3,Budget,19111.384334676684
Uttarakhand,10,10,2,Luxury,202948.5024112443
Delhi,5,14,1,Moderate,50033.937639094846
Himachal Pradesh,12,14,1,Luxury,202789.83959315097
Himachal Pradesh,7,8,5,Moderate,139007.04488265052
Himachal Pradesh,12,10,5,Luxury,645054.1721542274
Maharashtra,12,8,9,Moderate,205663.23186494265
Delhi,7,14,4,Moderate,180502.968201657
Kerala,11,4,5,Luxury,284889.22335169435
Uttarakhand,2,11,6,Moderate,135232.1798928045
Himachal Pradesh,7,2,7,Budget,17614.220172475383
Rajasthan,6,12,9,Budget,111943.73724610436
Delhi,7,3,6,Moderate,45444.39459669022
Maharashtra,11,3,1,Moderate,15354.715872522978
Delhi,8,4,8,Moderate,65884.57543094052
Uttarakhand,4,11,2,Luxury,205000.06135508342
Maharashtra,1,13,9,Budget,202724.37488240056
Uttarakhand,8,2,7,Moderate,33747.86353169819
Delhi,8,2,7,Moderate,36199.01211558934
Kerala,3,3,5,Luxury,131066.35446665583
Uttarakhand,3,12,8,Budget,102289.29308480302
Maharashtra,5,1,1,Moderate,4602.790696156839
Maharashtra,3,8,3,Budget,41830.60791452191
Uttarakhand,5,6,9,Luxury,381474.8982354758
Tamil Nadu,8,3,1,Budget,5190.22058487362
Delhi,1,1,8,Moderate,22977.349565874872
Tamil Nadu,2,3,6,Moderate,48618.160147203955
Agra,2,1,5,Budget,6233.2165579197845
Delhi,12,3,6,Luxury,187861.9690281633
Uttarakhand,4,4,5,Luxury,142821.74643962493
Goa,9,6,9,Luxury,376419.8338296294
Uttarakhand,2,7,2,Luxury,136596.81112366213
Tamil Nadu,12,7,6,Moderate,120471.62976390393
Kerala,11,9,4,Budget,83803.20500316772
Uttarakhand,12,8,3,Moderate,83751.87541068267
Uttarakhand,9,13,5,Budget,89574.18848958201
Kerala,7,4,2,Budget,16688.033742815373
Uttarakhand,10,6,3,Luxury,150342.25082811728
Himachal Pradesh,8,11,7,Luxury,685447.2841056153
Goa,1,1,1,Budget,3289.501055838812
Rajasthan,5,8,2,Budget,30203.35326916019
Goa,9,6,3,Budget,41733.88869557871
Uttarakhand,12,2,7,Moderate,48087.52085759293
Himachal Pradesh,4,8,4,Budget,47900.633942005654
Delhi,2,4,8,Moderate,69880.52934490769
Uttarakhand,6,9,8,Budget,105858.98851415447
Tamil Nadu,2,4,1,Luxury,37564.72435092669
Himachal Pradesh,3,1,5,Budget,8327.159936757897
Kerala,8,7,1,Budget,15795.702273743362
Himachal Pradesh,3,10,7,Moderate,213336.10158814344
Kerala,2,5,4,Budget,32330.23768878565
Agra,6,10,8,Moderate,145247.42249812567
Rajasthan,3,11,8,Moderate,179843.73695535708
Karnataka,1,12,9,Luxury,745955.5857390165
Himachal Pradesh,12,5,6,Luxury,324304.80242302414
Maharashtra,3,4,7,Luxury,230994.64987906656
Tamil Nadu,6,6,7,Luxury,281547.7906387967
Uttarakhand,3,1,5,Moderate,11301.28970077093
Tamil Nadu,9,3,7,Budget,26585.188279351405
Goa,7,11,9,Moderate,276845.6704760998
Karnataka,5,12,4,Luxury,461389.77129826497
Goa,2,7,2,Budget,30331.461758261965
Agra,9,11,8,Moderate,160787.07957565962
Karnataka,5,8,7,Budget,82039.18355395515
Karnataka,7,12,6,Moderate,183720.15302002957
Goa,9,9,7,Budget,104246.10856573384
Kerala,4,1,3,Budget,5000.033888156134
Goa,9,4,6,Luxury,278693.2745255886
Tamil Nadu,1,2,7,Luxury,130802.25018145221
Kerala,12,2,7,Budget,27323.388855446075
Tamil Nadu,6,1,5,Budget,7565.1914456100985
Agra,2,5,3,Luxury,126091.22022119943
Uttarakhand,8,2,2,Moderate,12993.764924099129
Delhi,5,4,7,Budget,32066.205192909172
Kerala,3,9,4,Moderate,111970.37787790335
Agra,2,11,2,Luxury,208305.83658851
Maharashtra,8,3,8,Budget,30550.582936511248
Agra,7,8,2,Moderate,51311.802011220556
Goa,9,10,6,Luxury,583196.16045205
Goa,8,13,4,Budget,84805.41181305634
Delhi,11,6,9,Moderate,139842.46283132405
Agra,4,10,5,Budget,57365.27540052785
Rajasthan,2,5,4,Moderate,67996.12861772077
Uttarakhand,2,2,8,Moderate,32148.98070806202
Goa,2,11,3,Budget,63105.555546750234
Delhi,11,13,9,Luxury,902138.2222834936
Uttarakhand,12,3,8,Budget,37353.95857350147
Agra,6,8,8,Luxury,426799.1434786806
Agra,7,12,5,Moderate,125407.35993802351
Karnataka,12,12,1,Moderate,51993.42577561268
Delhi,6,9,9,Moderate,178452.46765589315
Goa,2,11,2,Luxury,240248.09227304615
Rajasthan,4,11,1,Moderate,38373.32949965691
Agra,3,7,6,Budget,51595.0868439796
Rajasthan,11,1,1,Moderate,4542.622847918129
Agra,4,12,7,Luxury,503885.22255502903
Goa,5,12,7,Luxury,770204.6886975797
Uttarakhand,7,13,1,Budget,22149.61703246873
Himachal Pradesh,9,13,5,Budget,92745.11026828043
Uttarakhand,11,6,3,Luxury,143681.86871301662
Agra,2,7,2,Luxury,105892.74440431611
Tamil Nadu,8,12,5,Budget,90982.0976173605
Himachal Pradesh,3,6,5,Budget,45212.39346431806
Himachal Pradesh,9,10,2,Budget,31207.13334684592
Rajasthan,10,11,6,Budget,75620.14993192785
Delhi,12,13,7,Luxury,713036.5633030084
Rajasthan,4,2,1,Moderate,6394.663312513535
Rajasthan,3,13,3,Luxury,395132.6179937715
Tamil Nadu,10,9,4,Budget,51378.95030672622
Uttarakhand,6,3,2,Luxury,82966.29741568584
Uttarakhand,10,6,5,Budget,32868.30594461063
Maharashtra,9,6,4,Luxury,238927.62327469926
Agra,7,8,2,Budget,22153.79528299655
Tamil Nadu,4,13,1,Budget,20993.20336980244
Maharashtra,3,4,8,Luxury,226979.11065853416
Goa,10,6,2,Budget,25738.64887955895
Agra,4,1,4,Moderate,9547.068036755903
Agra,3,9,5,Budget,49001.86401185721
Karnataka,12,12,2,Budget,53215.05374424384
Karnataka,3,9,9,Budget,78685.17339143583
Kerala,12,7,2,Moderate,88586.16214453301
Kerala,9,11,6,Luxury,665248.8762877951
Rajasthan,4,13,7,Moderate,211281.00692059135
Goa,9,1,6,Moderate,23207.915290282825
Himachal Pradesh,12,3,4,Moderate,52656.70000980474
Himachal Pradesh,10,12,1,Luxury,155773.4202240292
Karnataka,5,5,2,Budget,20142.066569570045
Karnataka,7,4,6,Moderate,73131.66615795757
